
1,Time,Displacement,Force
,(s),(mm),(N)
"","0.0000","0.0000","0.0420"
"","0.0200","0.0000","0.0120"
"","0.0400","0.0000","-0.0190"
"","0.0600","0.0000","-0.0070"
"","0.0800","0.0001","-0.0347"
"","0.1000","0.0002","-0.0044"
"","0.1200","0.0003","-0.0371"
"","0.1400","0.0005","-0.0351"
"","0.1600","0.0006","0.0464"
"","0.1800","0.0007","0.0399"
"","0.2000","0.0007","-0.0007"
"","0.2200","0.0008","0.0395"
"","0.2400","0.0010","-0.0452"
"","0.2600","0.0014","-0.0424"
"","0.2800","0.0019","0.0359"
"","0.3000","0.0023","-0.0686"
"","0.3200","0.0028","-0.0824"
"","0.3400","0.0032","0.0057"
"","0.3600","0.0037","0.0258"
"","0.3800","0.0042","-0.0431"
"","0.4000","0.0047","-0.0474"
"","0.4200","0.0051","-0.0039"
"","0.4400","0.0054","-0.0277"
"","0.4600","0.0058","-0.0260"
"","0.4800","0.0062","0.0001"
"","0.5000","0.0066","-0.0143"
"","0.5200","0.0070","-0.0333"
"","0.5400","0.0072","0.0289"
"","0.5600","0.0075","0.0398"
"","0.5800","0.0077","0.0056"
"","0.6000","0.0079","-0.0396"
"","0.6200","0.0082","0.0110"
"","0.6400","0.0085","0.0347"
"","0.6600","0.0089","-0.0152"
"","0.6800","0.0093","-0.0452"
"","0.7000","0.0098","-0.0230"
"","0.7200","0.0102","-0.0468"
"","0.7400","0.0106","0.0518"
"","0.7600","0.0109","0.1085"
"","0.7800","0.0112","0.0674"
"","0.8000","0.0115","0.0014"
"","0.8200","0.0118","-0.1031"
"","0.8400","0.0121","-0.0607"
"","0.8600","0.0124","0.0499"
"","0.8800","0.0128","0.1148"
"","0.9000","0.0131","0.0248"
"","0.9200","0.0133","-0.0114"
"","0.9400","0.0136","0.0034"
"","0.9600","0.0139","-0.0211"
"","0.9800","0.0142","-0.0301"
"","1.0000","0.0146","-0.0585"
"","1.0200","0.0149","-0.0983"
"","1.0400","0.0153","0.0311"
"","1.0600","0.0157","0.0060"
"","1.0800","0.0161","-0.0531"
"","1.1000","0.0165","-0.0091"
"","1.1200","0.0168","0.0433"
"","1.1400","0.0172","0.0738"
"","1.1600","0.0176","0.1241"
"","1.1800","0.0180","0.0611"
"","1.2000","0.0183","-0.0262"
"","1.2200","0.0186","-0.0145"
"","1.2400","0.0189","0.0331"
"","1.2600","0.0191","0.0267"
"","1.2800","0.0193","0.0843"
"","1.3000","0.0196","0.0859"
"","1.3200","0.0199","0.0720"
"","1.3400","0.0202","0.0119"
"","1.3600","0.0206","0.0182"
"","1.3800","0.0211","0.0688"
"","1.4000","0.0215","0.0103"
"","1.4200","0.0219","0.0004"
"","1.4400","0.0223","-0.0190"
"","1.4600","0.0226","-0.0026"
"","1.4800","0.0228","-0.0506"
"","1.5000","0.0232","-0.1101"
"","1.5200","0.0235","-0.0342"
"","1.5400","0.0238","0.0657"
"","1.5600","0.0242","0.0577"
"","1.5800","0.0245","0.0843"
"","1.6000","0.0247","0.0745"
"","1.6200","0.0250","0.0214"
"","1.6400","0.0253","-0.0586"
"","1.6600","0.0256","-0.0986"
"","1.6800","0.0259","-0.0977"
"","1.7000","0.0263","-0.0706"
"","1.7200","0.0267","0.0032"
"","1.7400","0.0271","0.0159"
"","1.7600","0.0274","-0.0061"
"","1.7800","0.0278","0.0754"
"","1.8000","0.0281","0.0398"
"","1.8200","0.0285","-0.0650"
"","1.8400","0.0289","-0.0086"
"","1.8600","0.0293","0.1146"
"","1.8800","0.0297","0.0494"
"","1.9000","0.0300","0.0228"
"","1.9200","0.0303","0.1365"
"","1.9400","0.0305","0.0815"
"","1.9600","0.0307","0.0602"
"","1.9800","0.0310","0.0652"
"","2.0000","0.0312","-0.0009"
"","2.0200","0.0316","0.0497"
"","2.0400","0.0319","0.0744"
"","2.0600","0.0324","0.0205"
"","2.0800","0.0328","0.0255"
"","2.1000","0.0333","-0.0018"
"","2.1200","0.0336","0.0631"
"","2.1400","0.0340","0.0416"
"","2.1600","0.0343","0.0016"
"","2.1800","0.0346","0.0945"
"","2.2000","0.0349","0.1006"
"","2.2200","0.0352","0.0187"
"","2.2400","0.0355","-0.0138"
"","2.2600","0.0358","-0.1095"
"","2.2800","0.0361","-0.0806"
"","2.3000","0.0363","-0.0531"
"","2.3200","0.0366","0.0331"
"","2.3400","0.0369","0.0559"
"","2.3600","0.0372","0.0057"
"","2.3800","0.0376","-0.0680"
"","2.4000","0.0380","-0.0966"
"","2.4200","0.0384","-0.0348"
"","2.4400","0.0388","-0.0279"
"","2.4600","0.0391","-0.0675"
"","2.4800","0.0395","-0.0384"
"","2.5000","0.0398","-0.0421"
"","2.5200","0.0402","0.0115"
"","2.5400","0.0406","0.0862"
"","2.5600","0.0410","0.0380"
"","2.5800","0.0413","0.0021"
"","2.6000","0.0416","-0.0224"
"","2.6200","0.0419","-0.0601"
"","2.6400","0.0421","0.0082"
"","2.6600","0.0423","0.0228"
"","2.6800","0.0426","0.0135"
"","2.7000","0.0429","-0.0179"
"","2.7200","0.0432","-0.0012"
"","2.7400","0.0436","-0.0143"
"","2.7600","0.0441","0.0231"
"","2.7800","0.0445","0.0934"
"","2.8000","0.0449","-0.0146"
"","2.8200","0.0452","-0.0574"
"","2.8400","0.0455","0.0105"
"","2.8600","0.0458","0.0650"
"","2.8800","0.0461","0.1424"
"","2.9000","0.0465","0.1383"
"","2.9200","0.0468","0.0627"
"","2.9400","0.0471","0.0101"
"","2.9600","0.0475","-0.0213"
"","2.9800","0.0477","0.0325"
"","3.0000","0.0480","-0.0445"
"","3.0200","0.0483","0.0542"
"","3.0400","0.0486","0.0680"
"","3.0600","0.0489","0.0019"
"","3.0800","0.0493","0.0603"
"","3.1000","0.0497","0.1201"
"","3.1200","0.0501","0.0210"
"","3.1400","0.0505","-0.0522"
"","3.1600","0.0508","-0.0014"
"","3.1800","0.0512","-0.0119"
"","3.2000","0.0515","-0.0044"
"","3.2200","0.0519","0.0552"
"","3.2400","0.0523","0.0215"
"","3.2600","0.0526","0.0124"
"","3.2800","0.0530","0.0498"
"","3.3000","0.0532","0.0274"
"","3.3200","0.0534","0.0017"
"","3.3400","0.0537","-0.0111"
"","3.3600","0.0539","-0.0079"
"","3.3800","0.0542","0.0222"
"","3.4000","0.0545","0.0362"
"","3.4200","0.0549","0.0635"
"","3.4400","0.0554","0.0597"
"","3.4600","0.0558","-0.0187"
"","3.4800","0.0563","-0.0276"
"","3.5000","0.0566","-0.0143"
"","3.5200","0.0569","0.0080"
"","3.5400","0.0572","-0.0230"
"","3.5600","0.0575","-0.0085"
"","3.5800","0.0578","-0.0025"
"","3.6000","0.0582","0.0096"
"","3.6200","0.0585","-0.0911"
"","3.6400","0.0588","-0.0287"
"","3.6600","0.0591","-0.0527"
"","3.6800","0.0593","0.0487"
