
1,Time,Displacement,Force
,(s),(mm),(N)
"","0.0000","0.0000","0.1328"
"","0.0200","0.0000","0.1479"
"","0.0400","0.0000","0.1418"
"","0.0600","0.0000","0.1276"
"","0.0800","0.0001","0.0871"
"","0.1000","0.0002","0.2566"
"","0.1200","0.0003","0.2579"
"","0.1400","0.0004","0.1593"
"","0.1600","0.0006","0.1184"
"","0.1800","0.0007","0.1790"
"","0.2000","0.0007","0.3041"
"","0.2200","0.0008","0.2437"
"","0.2400","0.0010","0.2153"
"","0.2600","0.0013","0.2028"
"","0.2800","0.0018","0.1033"
"","0.3000","0.0024","0.1721"
"","0.3200","0.0029","0.2189"
"","0.3400","0.0034","0.2348"
"","0.3600","0.0038","0.2769"
"","0.3800","0.0042","0.2968"
"","0.4000","0.0046","0.2444"
"","0.4200","0.0050","0.1549"
"","0.4400","0.0053","0.2471"
"","0.4600","0.0056","0.2129"
"","0.4800","0.0058","0.2217"
"","0.5000","0.0061","0.2410"
"","0.5200","0.0064","0.1305"
"","0.5400","0.0068","0.1696"
"","0.5600","0.0072","0.1984"
"","0.5800","0.0076","0.1678"
"","0.6000","0.0080","0.1684"
"","0.6200","0.0083","0.2090"
"","0.6400","0.0087","0.1971"
"","0.6600","0.0090","0.2130"
"","0.6800","0.0093","0.1943"
"","0.7000","0.0097","0.1307"
"","0.7200","0.0101","0.0974"
"","0.7400","0.0105","0.1970"
"","0.7600","0.0108","0.2070"
"","0.7800","0.0111","0.1507"
"","0.8000","0.0113","0.2021"
"","0.8200","0.0116","0.2140"
"","0.8400","0.0118","0.1805"
"","0.8600","0.0121","0.2518"
"","0.8800","0.0124","0.3367"
"","0.9000","0.0128","0.2272"
"","0.9200","0.0132","0.2249"
"","0.9400","0.0137","0.2532"
"","0.9600","0.0141","0.1797"
"","0.9800","0.0144","0.1894"
"","1.0000","0.0148","0.3321"
"","1.0200","0.0150","0.3007"
"","1.0400","0.0153","0.2599"
"","1.0600","0.0156","0.2367"
"","1.0800","0.0160","0.1932"
"","1.1000","0.0163","0.2620"
"","1.1200","0.0166","0.3390"
"","1.1400","0.0169","0.2859"
"","1.1600","0.0172","0.1968"
"","1.1800","0.0174","0.2418"
"","1.2000","0.0177","0.1968"
"","1.2200","0.0180","0.2221"
"","1.2400","0.0184","0.2916"
"","1.2600","0.0188","0.3699"
"","1.2800","0.0193","0.3297"
"","1.3000","0.0197","0.2683"
"","1.3200","0.0200","0.2479"
"","1.3400","0.0204","0.2123"
"","1.3600","0.0207","0.2900"
"","1.3800","0.0211","0.2425"
"","1.4000","0.0215","0.2705"
"","1.4200","0.0219","0.3103"
"","1.4400","0.0222","0.3199"
"","1.4600","0.0225","0.2827"
"","1.4800","0.0228","0.2434"
"","1.5000","0.0230","0.3737"
"","1.5200","0.0232","0.2849"
"","1.5400","0.0235","0.1847"
"","1.5600","0.0238","0.1386"
"","1.5800","0.0241","0.1710"
"","1.6000","0.0245","0.2179"
"","1.6200","0.0249","0.3463"
"","1.6400","0.0254","0.3545"
"","1.6600","0.0257","0.2793"
"","1.6800","0.0261","0.3184"
"","1.7000","0.0264","0.3368"
"","1.7200","0.0267","0.2833"
