Kraft	Prüfzeit	Spannung	Weg	Weg in %	Zyklennummer	Key
N	s	MPa	mm	%		
6,411940369	0,4008	0,160298509	0,002431507	0,003039384	1	168977,2034
6,238681446	0,4509	0,155967036	0,000927816	0,00115977	1	168977,2535
6,341276095	0,501	0,158531902	0,001757902	0,002197378	1	168977,3036
6,509341126	0,5511	0,162733528	0,007975103	0,009968879	1	168977,3537
6,739600521	0,6012	0,168490013	0,015129657	0,018912071	1	168977,4038
7,209218834	0,6513	0,180230471	0,024489048	0,03061131	1	168977,4539
7,556455783	0,7014	0,188911395	0,031939437	0,039924296	1	168977,504
8,052548645	0,7515	0,201313716	0,045113522	0,056391902	1	168977,5541
8,646830369	0,8016	0,216170759	0,061673715	0,077092144	1	168977,6042
9,292544384	0,8517	0,23231361	0,077234876	0,096543595	1	168977,6543
10,15218414	0,9017	0,253804604	0,098326296	0,12290787	1	168977,7043
11,09245854	0,9518	0,277311464	0,121477849	0,151847311	1	168977,7544
12,09085483	1,0019	0,302271371	0,141717395	0,177146744	1	168977,8045
13,11725757	1,052	0,327931439	0,16669341	0,208366763	1	168977,8546
14,20946465	1,1021	0,355236616	0,197066492	0,246333115	1	168977,9047
15,33556654	1,1522	0,383389164	0,224526212	0,280657765	1	168977,9548
16,48020121	1,2023	0,41200503	0,253901516	0,317376895	1	168978,0049
17,77532665	1,2524	0,444383166	0,286954906	0,358693632	1	168978,055
19,11031545	1,3025	0,477757886	0,321492281	0,401865352	1	168978,1051
20,54161	1,3525	0,51354025	0,354727172	0,443408965	1	168978,1551
21,99406869	1,4026	0,549851717	0,399962597	0,499953246	1	168978,2052
23,52525568	1,4527	0,588131392	0,438901705	0,548627131	1	168978,2553
25,18926555	1,5028	0,629731639	0,476579458	0,595724323	1	168978,3054
26,75709567	1,5529	0,668927392	0,517470871	0,646838588	1	168978,3555
28,38130026	1,603	0,709532506	0,565975206	0,707469008	1	168978,4056
29,98423302	1,6531	0,749605826	0,608303699	0,760379624	1	168978,4557
31,87722348	1,7032	0,796930587	0,655587786	0,819484732	1	168978,5058
33,55421788	1,7533	0,838855447	0,705074567	0,881343208	1	168978,5559
35,48163948	1,8034	0,887040987	0,755691538	0,944614422	1	168978,606
37,40578321	1,8534	0,93514458	0,805289628	1,006612035	1	168978,656
39,22935678	1,9035	0,980733919	0,86360864	1,0795108	1	168978,7061
41,11857417	1,9536	1,027964354	0,916391125	1,145488906	1	168978,7562
42,99197175	2,0037	1,074799294	0,968349909	1,210437386	1	168978,8063
44,92212808	2,0538	1,123053202	1,026570739	1,283213423	1	168978,8564
46,80427865	2,1039	1,170106966	1,083752133	1,354690167	1	168978,9065
48,74052406	2,154	1,218513101	1,138551964	1,423189955	1	168978,9566
50,71401685	2,2041	1,267850421	1,199795464	1,49974433	1	168979,0067
52,68452613	2,2542	1,317113153	1,264619892	1,580774865	1	168979,0568
54,66814506	2,3042	1,366703627	1,322863407	1,653579259	1	168979,1068
56,59431072	2,3543	1,414857768	1,383446342	1,729307927	1	168979,1569
58,57063015	2,4044	1,464265754	1,447963522	1,809954402	1	168979,207
60,42669463	2,4545	1,510667366	1,508807543	1,886009429	1	168979,2571
62,36695079	2,5046	1,55917377	1,570434138	1,963042672	1	168979,3072
64,29689137	2,5547	1,607422284	1,638269226	2,047836532	1	168979,3573
66,02867312	2,6048	1,650716828	1,701087984	2,12635998	1	168979,4074
68,104142	2,6549	1,70260355	1,765410353	2,206762941	1	168979,4575
69,95241411	2,705	1,748810353	1,834540708	2,293175885	1	168979,5076
71,90521697	2,7551	1,797630424	1,900792817	2,375991022	1	168979,5577
73,56950077	2,8051	1,839237519	1,961597156	2,451996445	1	168979,6077
75,45685813	2,8552	1,886421453	2,026271169	2,532838961	1	168979,6578
77,15704352	2,9053	1,928926088	2,092217897	2,615272371	1	168979,7079
78,88975111	2,9554	1,972243778	2,154269895	2,692837369	1	168979,758
80,56243031	3,0055	2,014060758	2,220861284	2,776076605	1	168979,8081
82,23480274	3,0556	2,055870069	2,287816296	2,85977037	1	168979,8582
83,90209975	3,1057	2,097552494	2,350308847	2,937886059	1	168979,9083
85,42732235	3,1558	2,135683059	2,412301858	3,015377323	1	168979,9584
87,1095504	3,2059	2,17773876	2,480887615	3,101109519	1	168980,0085
88,54929221	3,2559	2,213732305	2,539669626	3,174587032	1	168980,0585
89,97786251	3,306	2,249446563	2,601361997	3,251702497	1	168980,1086
91,45298312	3,3561	2,286324578	2,663294885	3,329118607	1	168980,1587
92,78447033	3,4062	2,319611758	2,722119645	3,402649556	1	168980,2088
94,22323138	3,4563	2,355580785	2,784747219	3,480934023	1	168980,2589
95,56360399	3,5064	2,3890901	2,843000805	3,553751006	1	168980,309
96,85438288	3,5565	2,421359572	2,905497264	3,63187158	1	168980,3591
98,06794908	3,6066	2,451698727	2,959763822	3,699704777	1	168980,4092
99,37994817	3,6567	2,484498704	3,018341347	3,772926684	1	168980,4593
100,4335545	3,7068	2,510838863	3,075051823	3,843814779	1	168980,5094
101,4140278	3,7568	2,535350696	3,124590271	3,905737838	1	168980,5594
102,4887589	3,8069	2,562218973	3,175471179	3,969338974	1	168980,6095
103,4827036	3,857	2,587067589	3,230651171	4,038313964	1	168980,6596
104,5916509	3,9071	2,614791273	3,279585434	4,099481792	1	168980,7097
105,4531603	3,9572	2,636329008	3,328499206	4,160624008	1	168980,7598
106,4190107	4,0073	2,660475268	3,378716198	4,223395247	1	168980,8099
107,18204	4,0574	2,679550999	3,423718079	4,279647599	1	168980,86
107,9184612	4,1075	2,697961531	3,465592037	4,331990047	1	168980,9101
108,6804462	4,1576	2,717011155	3,512763969	4,390954961	1	168980,9602
109,3501917	4,2076	2,733754793	3,550005657	4,437507071	1	168981,0102
110,0484195	4,2577	2,751210489	3,587511682	4,484389603	1	168981,0603
110,5782799	4,3078	2,764456998	3,629713341	4,537141676	1	168981,1104
111,3268279	4,3579	2,783170697	3,66600562	4,582507025	1	168981,1605
111,8203234	4,408	2,795508084	3,697863868	4,622329835	1	168981,2106
112,2696371	4,4581	2,806740927	3,734515585	4,668144481	1	168981,2607
112,7184397	4,5082	2,817960992	3,767120762	4,708900952	1	168981,3108
113,0704602	4,5583	2,826761506	3,790809847	4,738512308	1	168981,3609
113,4470353	4,6084	2,836175883	3,817509669	4,771887087	1	168981,411
113,6400126	4,6585	2,841000315	3,842420427	4,803025534	1	168981,4611
113,9673699	4,7085	2,849184248	3,864457722	4,830572153	1	168981,5111
114,1203385	4,7586	2,853008463	3,883816551	4,854770688	1	168981,5612
114,4803512	4,8087	2,86200878	3,907750909	4,884688637	1	168981,6113
114,5847891	4,8588	2,864619727	3,922172611	4,902715763	1	168981,6614
114,7163698	4,9089	2,867909245	3,938136815	4,922671019	1	168981,7115
114,6231568	4,959	2,86557892	3,951939827	4,939924783	1	168981,7616
114,6356203	5,0091	2,865890508	3,960783698	4,950979623	1	168981,8117
114,5239765	5,0592	2,863099413	3,965016095	4,956270118	1	168981,8618
114,4251373	5,1093	2,860628432	3,975944415	4,969930518	1	168981,9119
114,2568216	5,1593	2,856420539	3,977191738	4,971489673	1	168981,9619
114,0794592	5,2094	2,85198648	3,9787366	4,973420751	1	168982,012
113,8142281	5,2595	2,845355702	3,98042426	4,975530325	1	168982,0621
113,5774867	5,3096	2,839437167	3,979732007	4,974665009	1	168982,1122
113,1633106	5,3597	2,829082765	3,973989178	4,967486473	1	168982,1623
112,7996622	5,4098	2,819991555	3,967724612	4,959655765	1	168982,2124
112,3405824	5,4599	2,808514561	3,962971129	4,953713912	1	168982,2625
111,7330457	5,51	2,793326141	3,947303365	4,934129206	1	168982,3126
111,0535882	5,5601	2,776339706	3,932957288	4,91619661	1	168982,3627
110,5178305	5,6102	2,762945764	3,922765554	4,903456942	1	168982,4128
109,8947648	5,6602	2,74736912	3,906173291	4,882716614	1	168982,4628
109,0315248	5,7103	2,72578812	3,885581808	4,85697726	1	168982,5129
108,2959751	5,7604	2,707399377	3,866813709	4,833517136	1	168982,563
107,2591135	5,8105	2,681477838	3,842268157	4,802835196	1	168982,6131
106,3028482	5,8606	2,657571204	3,811983848	4,76497981	1	168982,6632
105,1806584	5,9107	2,62951646	3,785286702	4,731608378	1	168982,7133
104,2051512	5,9608	2,60512878	3,75727736	4,6965967	1	168982,7634
102,9940952	6,0109	2,574852379	3,724560022	4,655700027	1	168982,8135
101,9350385	6,061	2,548375963	3,691929394	4,614911743	1	168982,8636
100,7194508	6,111	2,51798627	3,660487932	4,575609915	1	168982,9136
99,42109714	6,1611	2,485527429	3,624905119	4,531131399	1	168982,9637
98,13549767	6,2112	2,453387442	3,585231928	4,48153991	1	168983,0138
96,71430465	6,2613	2,417857616	3,546370928	4,43296366	1	168983,0639
95,31044867	6,3114	2,382761217	3,505267302	4,381584127	1	168983,114
93,8199722	6,3615	2,345499305	3,459307648	4,32413456	1	168983,1641
92,31745931	6,4116	2,307936483	3,414194904	4,26774363	1	168983,2142
90,75387035	6,4617	2,268846759	3,370715188	4,213393985	1	168983,2643
89,25952072	6,5118	2,231488018	3,322839583	4,153549478	1	168983,3144
87,7418534	6,5619	2,193546335	3,273137219	4,091421524	1	168983,3645
86,02494405	6,6119	2,150623601	3,225060873	4,031326091	1	168983,4145
84,43406195	6,662	2,110851549	3,173232206	3,966540257	1	168983,4646
82,63125038	6,7121	2,065781259	3,115499896	3,894374869	1	168983,5147
80,86975961	6,7622	2,02174399	3,060376297	3,825470372	1	168983,5648
79,06413384	6,8123	1,976603346	3,00661759	3,758271987	1	168983,6149
77,30076412	6,8624	1,932519103	2,947844156	3,684805195	1	168983,665
75,58590623	6,9125	1,889647656	2,890995976	3,61374497	1	168983,7151
73,78077699	6,9626	1,844519425	2,837729148	3,547161435	1	168983,7652
71,94706303	7,0127	1,798676576	2,775750359	3,469687949	1	168983,8153
70,06159421	7,0627	1,751539855	2,715534163	3,394417704	1	168983,8653
68,13635598	7,1128	1,7034089	2,654335523	3,317919404	1	168983,9154
66,23684762	7,1629	1,655921191	2,591569737	3,239462172	1	168983,9655
64,2802024	7,213	1,60700506	2,527588688	3,15948586	1	168984,0156
62,49756151	7,2631	1,562439038	2,465435008	3,081793759	1	168984,0657
60,53194789	7,3132	1,513298697	2,402294951	3,002868689	1	168984,1158
58,65488492	7,3633	1,466372123	2,338756184	2,92344523	1	168984,1659
56,69148497	7,4134	1,417287124	2,275711522	2,844639403	1	168984,216
54,87297335	7,4635	1,371824334	2,211672827	2,764591034	1	168984,2661
52,85557548	7,5136	1,321389387	2,144664444	2,680830555	1	168984,3162
50,92151798	7,5636	1,273037949	2,08148126	2,601851575	1	168984,3662
48,96818315	7,6137	1,224204579	2,015856472	2,51982059	1	168984,4163
47,00896991	7,6638	1,175224248	1,946394914	2,432993643	1	168984,4664
45,15621679	7,7139	1,12890542	1,883299384	2,35412423	1	168984,5165
43,19387952	7,764	1,079846988	1,821454978	2,276818722	1	168984,5666
41,40793987	7,8141	1,035198497	1,755344662	2,194180828	1	168984,6167
39,53404984	7,8642	0,988351246	1,689205481	2,111506852	1	168984,6668
37,68317571	7,9143	0,942079393	1,627992449	2,034990561	1	168984,7169
35,77257404	7,9644	0,894314351	1,563406643	1,954258303	1	168984,767
33,89821003	8,0144	0,847455251	1,496383216	1,870479019	1	168984,817
32,01538415	8,0645	0,800384604	1,435629938	1,794537422	1	168984,8671
30,2363273	8,1146	0,755908182	1,372547264	1,71568408	1	168984,9172
28,43572895	8,1647	0,710893224	1,309952331	1,637440413	1	168984,9673
26,7702963	8,2148	0,669257407	1,250647136	1,56330892	1	168985,0174
25,07537447	8,2649	0,626884362	1,194880754	1,493600942	1	168985,0675
23,4043554	8,315	0,585108885	1,133888414	1,417360518	1	168985,1176
21,66213719	8,3651	0,54155343	1,077459792	1,346824739	1	168985,1677
20,08956368	8,4152	0,502239092	1,018858371	1,273572964	1	168985,2178
18,33185826	8,4653	0,458296457	0,960634305	1,200792881	1	168985,2679
16,7981323	8,5153	0,419953308	0,902274641	1,127843301	1	168985,3179
15,25793112	8,5654	0,381448278	0,852998178	1,066247723	1	168985,368
13,74217061	8,6155	0,343554265	0,79881209	0,998515113	1	168985,4181
12,2476623	8,6656	0,306191557	0,747608824	0,93451103	1	168985,4682
10,86078303	8,7157	0,271519576	0,700378739	0,875473423	1	168985,5183
9,433475936	8,7658	0,235836898	0,652865306	0,816081632	1	168985,5684
8,073411441	8,8159	0,201835286	0,602247864	0,752809829	1	168985,6185
6,663183331	8,866	0,166579583	0,557049448	0,696311809	1	168985,6686
5,322992261	8,9161	0,133074807	0,513486921	0,641858651	1	168985,7187
4,090536803	8,9661	0,10226342	0,464762859	0,580953574	1	168985,7687
2,917159073	9,0162	0,072928977	0,425386493	0,531733116	1	168985,8188
1,780029999	9,0663	0,04450075	0,389270516	0,486588146	1	168985,8689
0,797916205	9,1164	0,019947905	0,352303265	0,440379081	1	168985,919
-0,29344231	9,1665	-0,007336058	0,315540373	0,394425466	1	168985,9691
-1,198397202	9,2166	-0,02995993	0,282303858	0,352879823	1	168986,0192
-2,276283661	9,2667	-0,056907092	0,248928013	0,311160016	1	168986,0693
-3,022607876	9,3168	-0,075565197	0,214419451	0,268024314	1	168986,1194
-3,896627899	9,3669	-0,097415697	0,187643397	0,234554246	1	168986,1695
-4,605233715	9,417	-0,115130843	0,163573096	0,204466369	1	168986,2196
-5,235621958	9,467	-0,130890549	0,136222869	0,170278587	1	168986,2696
-5,840393477	9,5171	-0,146009837	0,114819697	0,143524621	1	168986,3197
-6,339166058	9,5672	-0,158479151	0,098920488	0,123650609	1	168986,3698
-6,886328389	9,6173	-0,17215821	0,079400853	0,099251067	1	168986,4199
-7,237470835	9,6674	-0,180936771	0,061286083	0,076607604	1	168986,47
-7,635220102	9,7175	-0,190880503	0,048363413	0,060454267	1	168986,5201
-7,9271567	9,7676	-0,198178918	0,033630512	0,04203814	1	168986,5702
-8,205960098	9,8177	-0,205149002	0,021021656	0,02627707	1	168986,6203
-8,319072513	9,8678	-0,207976813	0,015243891	0,019054864	1	168986,6704
-8,348899904	9,9178	-0,208722498	0,010135707	0,012669634	1	168986,7204
-8,385044959	9,9679	-0,209626124	0,004644407	0,005805509	1	168986,7705
-8,184393835	10,0161	-0,204609846	0,00756525	0,009456563	1	168986,8187
-8,180318736	10,0162	-0,204507968	0,0074293	0,009286624	2	168986,8188
-8,07523804	10,0663	-0,201880951	0,004748963	0,005936204	2	168986,8689
-7,88578084	10,1164	-0,197144521	0,004401765	0,005502207	2	168986,919
-7,692184328	10,1665	-0,192304608	0,01160012	0,014500149	2	168986,9691
-7,342164241	10,2166	-0,183554106	0,016123636	0,020154545	2	168987,0192
-6,961913699	10,2667	-0,174047842	0,020185571	0,025231964	2	168987,0693
-6,378288711	10,3168	-0,159457218	0,035041247	0,043801559	2	168987,1194
-5,728667337	10,3669	-0,143216683	0,050508956	0,063136195	2	168987,1695
