2,Time,Displacement,Force,Strain 1
,(s),(mm),(N),(%)
,0.0000,0.0000,0.0451,0.0006
,0.0050,0.0000,0.0486,0.0005
,0.0100,0.0000,0.0775,0.0005
,0.0150,0.0003,0.1656,0.0006
,0.0200,0.0010,0.2782,0.0008
,0.0250,0.0025,0.3956,0.0010
,0.0300,0.0051,0.5487,0.0012
,0.0340,0.0082,0.7093,0.0013
,0.0370,0.0112,0.8643,0.0014
,0.0400,0.0148,1.0478,0.0015
,0.0420,0.0176,1.1823,0.0015
,0.0440,0.0207,1.3213,0.0016
,0.0460,0.0241,1.4674,0.0016
,0.0480,0.0279,1.6233,0.0017
,0.0500,0.0320,1.7922,0.0018
,0.0520,0.0365,1.9793,0.0019
,0.0540,0.0413,2.1830,0.0021
,0.0560,0.0464,2.3999,0.0023
,0.0580,0.0519,2.6284,0.0025
,0.0600,0.0578,2.8670,0.0028
,0.0620,0.0640,3.1176,0.0031
,0.0630,0.0673,3.2482,0.0033
,0.0640,0.0707,3.3815,0.0035
,0.0650,0.0741,3.5169,0.0038
,0.0660,0.0776,3.6547,0.0042
,0.0670,0.0812,3.7963,0.0049
,0.0680,0.0850,3.9429,0.0058
,0.0690,0.0888,4.0944,0.0070
,0.0700,0.0927,4.2503,0.0084
,0.0710,0.0967,4.4100,0.0102
,0.0720,0.1007,4.5737,0.0122
,0.0730,0.1049,4.7417,0.0146
,0.0740,0.1092,4.9142,0.0172
,0.0750,0.1135,5.0903,0.0201
,0.0760,0.1180,5.2692,0.0234
,0.0770,0.1225,5.4502,0.0269
,0.0780,0.1272,5.6333,0.0308
,0.0790,0.1319,5.8188,0.0349
,0.0800,0.1367,6.0072,0.0392
,0.0810,0.1416,6.1984,0.0438
,0.0820,0.1466,6.3917,0.0487
,0.0830,0.1517,6.5869,0.0539
,0.0840,0.1569,6.7841,0.0594
,0.0850,0.1621,6.9836,0.0651
,0.0860,0.1675,7.1857,0.0711
,0.0870,0.1729,7.3903,0.0773
,0.0880,0.1784,7.5976,0.0839
,0.0890,0.1841,7.8080,0.0906
,0.0900,0.1898,8.0218,0.0976
,0.0910,0.1956,8.2396,0.1048
,0.0920,0.2015,8.4614,0.1122
,0.0930,0.2074,8.6870,0.1198
,0.0940,0.2135,8.9157,0.1275
,0.0950,0.2196,9.1474,0.1353
,0.0960,0.2259,9.3817,0.1434
,0.0970,0.2322,9.6186,0.1516
,0.0980,0.2386,9.8583,0.1599
,0.0990,0.2451,10.1006,0.1683
,0.1000,0.2517,10.3451,0.1768
,0.1010,0.2584,10.5915,0.1854
,0.1020,0.2651,10.8403,0.1940
,0.1030,0.2719,11.0919,0.2027
,0.1040,0.2789,11.3463,0.2113
,0.1050,0.2859,11.6028,0.2200
,0.1060,0.2930,11.8612,0.2287
,0.1070,0.3002,12.1221,0.2375
,0.1080,0.3074,12.3861,0.2462
,0.1090,0.3148,12.6540,0.2550
,0.1100,0.3222,12.9259,0.2637
,0.1110,0.3297,13.2007,0.2725
,0.1120,0.3373,13.4778,0.2813
,0.1130,0.3450,13.7572,0.2900
,0.1140,0.3528,14.0386,0.2988
