Specimen properties : Length,Specimen properties : Thickness,Specimen properties : Width
(mm),(mm),(mm)
"80.00","4.00","10.00"


1,Time,Displacement,Force,Strain 1
,(s),(mm),(N),(%)
"","0.0000","0.0000","-0.0476","0.0054"
"","0.1160","0.0037","0.0795","0.0016"
"","0.1350","0.0049","0.2057","0.0005"
"","0.1570","0.0069","0.3321","0.0004"
"","0.2100","0.0138","0.4634","0.0022"
"","0.2240","0.0155","0.5932","0.0025"
"","0.2460","0.0179","0.7198","0.0039"
"","0.2700","0.0203","0.8489","0.0050"
"","0.3320","0.0266","0.9777","0.0093"
"","0.3420","0.0276","1.1038","0.0104"
"","0.3570","0.0291","1.2311","0.0125"
"","0.4170","0.0352","1.3597","0.0171"
"","0.4580","0.0393","1.4904","0.0196"
"","0.4690","0.0403","1.6222","0.0205"
"","0.4790","0.0414","1.7508","0.0214"
"","0.5330","0.0469","1.8818","0.0259"
"","0.5510","0.0487","2.0068","0.0277"
"","0.5940","0.0529","2.1343","0.0331"
"","0.6430","0.0580","2.2620","0.0365"
"","0.6610","0.0597","2.3877","0.0376"
"","0.7120","0.0647","2.5132","0.0412"
"","0.7340","0.0670","2.6417","0.0437"
"","0.7710","0.0707","2.7713","0.0487"
"","0.7980","0.0733","2.9001","0.0515"
"","0.8180","0.0753","3.0274","0.0535"
"","0.9010","0.0836","3.1567","0.0604"
"","0.9160","0.0850","3.2839","0.0628"
"","0.9560","0.0891","3.4117","0.0683"
"","0.9690","0.0905","3.5415","0.0702"
"","0.9840","0.0920","3.6692","0.0718"
"","1.0380","0.0973","3.8003","0.0761"
"","1.0840","0.1020","3.9331","0.0812"
"","1.0940","0.1030","4.0594","0.0825"
"","1.1060","0.1043","4.1868","0.0841"
"","1.1700","0.1105","4.3156","0.0924"
"","1.1970","0.1133","4.4460","0.0964"
"","1.2170","0.1154","4.5739","0.0985"
"","1.2760","0.1212","4.7000","0.1047"
"","1.2900","0.1226","4.8280","0.1066"
"","1.3500","0.1286","4.9594","0.1140"
"","1.3740","0.1308","5.0857","0.1184"
"","1.4100","0.1345","5.2192","0.1250"
"","1.4250","0.1360","5.3447","0.1269"
"","1.4640","0.1399","5.4705","0.1315"
"","1.4760","0.1411","5.5969","0.1329"
"","1.5520","0.1488","5.7291","0.1444"
"","1.5940","0.1529","5.8584","0.1485"
"","1.6080","0.1542","5.9890","0.1500"
"","1.6520","0.1588","6.1207","0.1529"
"","1.6660","0.1602","6.2482","0.1543"
"","1.7310","0.1666","6.3740","0.1618"
"","1.7530","0.1688","6.5028","0.1633"
"","1.7950","0.1732","6.6307","0.1705"
"","1.8440","0.1780","6.7612","0.1784"
"","1.8560","0.1792","6.8919","0.1797"
"","1.9100","0.1847","7.0283","0.1880"
"","1.9230","0.1859","7.1619","0.1896"
"","1.9850","0.1920","7.2908","0.1957"
"","2.0390","0.1975","7.4167","0.2021"
"","2.0860","0.2021","7.5441","0.2072"
"","2.1020","0.2037","7.6697","0.2090"
"","2.1440","0.2080","7.8010","0.2143"
"","2.1610","0.2096","7.9320","0.2164"
"","2.2140","0.2149","8.0633","0.2249"
"","2.2320","0.2167","8.1890","0.2273"
"","2.2860","0.2222","8.3178","0.2316"
"","2.2990","0.2234","8.4499","0.2319"
"","2.3560","0.2292","8.5815","0.2371"
"","2.3750","0.2312","8.7108","0.2388"
"","2.4210","0.2356","8.8390","0.2433"
"","2.4720","0.2409","8.9698","0.2464"
"","2.4850","0.2422","9.0973","0.2466"
"","2.5460","0.2481","9.2303","0.2491"
"","2.5580","0.2493","9.3644","0.2503"
"","2.6360","0.2571","9.4906","0.2573"
"","2.6680","0.2603","9.6200","0.2610"
"","2.6820","0.2617","9.7543","0.2622"
"","2.7350","0.2670","9.8834","0.2647"
"","2.7590","0.2693","10.0104","0.2671"
"","2.7860","0.2720","10.1460","0.2699"
"","2.7960","0.2731","10.2848","0.2710"
"","2.8710","0.2806","10.4143","0.2792"
"","2.9160","0.2852","10.5438","0.2838"
"","2.9260","0.2862","10.6702","0.2851"
"","2.9840","0.2919","10.7964","0.2925"
"","3.0410","0.2977","10.9246","0.2979"
"","3.0530","0.2989","11.0512","0.2985"
"","3.1020","0.3038","11.1788","0.3007"
"","3.1280","0.3064","11.3054","0.3020"
"","3.1740","0.3110","11.4355","0.3061"
"","3.1920","0.3127","11.5629","0.3076"
