Specimen properties : Length,Specimen properties : Thickness,Specimen properties : Width
(mm),(mm),(mm)
"80.00","4.00","10.00"


1,Time,Displacement,Force,Strain 1
,(s),(mm),(N),(%)
"","0.0000","0.0000","-0.1029","0.0002"
"","0.0240","0.0000","0.0287","0.0001"
"","0.0980","0.0031","0.1573","0.0022"
"","0.1650","0.0073","0.2832","0.0030"
"","0.1880","0.0103","0.4165","0.0045"
"","0.2050","0.0127","0.5448","0.0056"
"","0.2480","0.0182","0.6712","0.0091"
"","0.2870","0.0224","0.8007","0.0098"
"","0.3040","0.0242","0.9316","0.0111"
"","0.3360","0.0275","1.0581","0.0147"
"","0.3810","0.0319","1.1893","0.0190"
"","0.4030","0.0341","1.3170","0.0217"
"","0.4580","0.0397","1.4436","0.0282"
"","0.4750","0.0414","1.5773","0.0304"
"","0.4900","0.0428","1.7039","0.0321"
"","0.5440","0.0483","1.8314","0.0362"
"","0.5870","0.0525","1.9597","0.0407"
"","0.6240","0.0561","2.0892","0.0569"
"","0.6400","0.0577","2.2188","0.0616"
"","0.6610","0.0599","2.3446","0.0617"
"","0.7350","0.0672","2.4747","0.0697"
"","0.7590","0.0696","2.6044","0.0679"
"","0.7770","0.0715","2.7339","0.0669"
"","0.7930","0.0731","2.8593","0.0702"
"","0.8540","0.0791","2.9867","0.0818"
"","0.8720","0.0809","3.1157","0.0791"
"","0.8930","0.0831","3.2456","0.0767"
"","0.9380","0.0875","3.3710","0.0797"
"","0.9860","0.0923","3.4989","0.0846"
"","1.0150","0.0953","3.6240","0.0866"
"","1.0490","0.0987","3.7517","0.0894"
"","1.0680","0.1006","3.8845","0.0910"
"","1.1300","0.1069","4.0153","0.0958"
"","1.1530","0.1092","4.1441","0.0972"
"","1.2260","0.1164","4.2699","0.1032"
"","1.2420","0.1180","4.3976","0.1036"
"","1.2660","0.1204","4.5235","0.1043"
"","1.3060","0.1243","4.6545","0.1072"
"","1.3210","0.1258","4.7807","0.1083"
"","1.3760","0.1314","4.9098","0.1128"
"","1.4200","0.1357","5.0386","0.1164"
"","1.4340","0.1371","5.1688","0.1176"
"","1.4620","0.1400","5.2954","0.1199"
"","1.5140","0.1452","5.4227","0.1245"
"","1.5380","0.1475","5.5491","0.1271"
"","1.5590","0.1497","5.6751","0.1294"
"","1.6410","0.1579","5.8006","0.1377"
"","1.6690","0.1607","5.9270","0.1409"
