Specimen properties : Length,Specimen properties : Thickness,Specimen properties : Width
(mm),(mm),(mm)
"80.00","4.00","10.00"


1,Time,Displacement,Force,Strain 1
,(s),(mm),(N),(%)
"","0.0000","0.0000","-0.0767","0.0005"
"","0.0050","0.0000","-0.0568","0.0005"
"","0.0100","0.0000","-0.0089","0.0004"
"","0.0150","0.0003","0.0916","0.0003"
"","0.0200","0.0010","0.2380","0.0003"
"","0.0240","0.0021","0.3830","0.0002"
"","0.0270","0.0034","0.5101","0.0001"
"","0.0300","0.0051","0.6529","0.0000"
"","0.0330","0.0073","0.8092","0.0000"
"","0.0360","0.0101","0.9765","-0.0001"
"","0.0390","0.0135","1.1574","-0.0001"
"","0.0410","0.0161","1.2884","-0.0001"
"","0.0430","0.0191","1.4301","-0.0001"
"","0.0450","0.0223","1.5806","-0.0001"
"","0.0470","0.0259","1.7424","0.0000"
"","0.0490","0.0299","1.9160","0.0001"
"","0.0510","0.0341","2.0977","0.0002"
"","0.0530","0.0387","2.2878","0.0004"
"","0.0550","0.0437","2.4864","0.0007"
"","0.0570","0.0490","2.6930","0.0009"
"","0.0590","0.0547","2.9101","0.0012"
"","0.0610","0.0607","3.1360","0.0016"
"","0.0630","0.0672","3.3746","0.0020"
"","0.0640","0.0705","3.5010","0.0023"
"","0.0650","0.0739","3.6318","0.0025"
"","0.0660","0.0775","3.7665","0.0028"
"","0.0670","0.0811","3.9045","0.0030"
"","0.0680","0.0848","4.0464","0.0033"
"","0.0690","0.0886","4.1931","0.0036"
"","0.0700","0.0925","4.3454","0.0039"
"","0.0710","0.0965","4.5032","0.0042"
"","0.0720","0.1005","4.6656","0.0046"
"","0.0730","0.1047","4.8321","0.0049"
"","0.0740","0.1090","5.0021","0.0053"
"","0.0750","0.1133","5.1760","0.0057"
"","0.0760","0.1177","5.3540","0.0062"
"","0.0770","0.1223","5.5358","0.0069"
"","0.0780","0.1269","5.7204","0.0079"
"","0.0790","0.1316","5.9075","0.0091"
"","0.0800","0.1364","6.0971","0.0106"
"","0.0810","0.1413","6.2893","0.0125"
"","0.0820","0.1463","6.4836","0.0148"
