3,Time,Displacement,Force,Strain 1
,(s),(mm),(N),(%)
,0.0000,0.0000,-0.1218,0.0001
,0.0250,0.0004,0.0123,-0.0001
,0.0350,0.0016,0.1516,-0.0001
,0.0420,0.0035,0.2807,-0.0003
,0.0470,0.0055,0.4099,-0.0004
,0.0530,0.0088,0.5447,-0.0006
,0.0590,0.0129,0.6862,-0.0009
,0.0650,0.0176,0.8230,-0.0013
,0.0700,0.0219,0.9509,-0.0016
,0.0750,0.0264,1.1043,-0.0019
,0.0800,0.0310,1.2566,-0.0021
,0.0850,0.0356,1.4046,-0.0023
,0.0900,0.0402,1.5553,-0.0024
,0.0950,0.0448,1.7139,-0.0025
,0.0990,0.0485,1.8538,-0.0026
,0.1030,0.0522,1.9889,-0.0026
,0.1070,0.0558,2.1213,-0.0026
,0.1110,0.0596,2.2609,-0.0026
,0.1150,0.0633,2.4155,-0.0027
,0.1190,0.0671,2.5746,-0.0027
,0.1230,0.0710,2.7326,-0.0026
,0.1270,0.0749,2.8800,-0.0026
,0.1310,0.0789,3.0315,-0.0025
,0.1350,0.0829,3.1850,-0.0022
,0.1390,0.0870,3.3256,-0.0020
,0.1430,0.0912,3.4751,-0.0017
,0.1470,0.0954,3.6096,-0.0014
,0.1510,0.0997,3.7465,-0.0010
,0.1550,0.1040,3.8872,-0.0006
,0.1590,0.1083,4.0126,-0.0001
,0.1640,0.1137,4.1712,0.0006
,0.1680,0.1180,4.3177,0.0013
,0.1720,0.1223,4.4682,0.0019
,0.1760,0.1267,4.6143,0.0026
,0.1800,0.1310,4.7730,0.0032
,0.1840,0.1352,4.9375,0.0038
,0.1880,0.1395,5.1024,0.0043
,0.1920,0.1437,5.2576,0.0049
,0.1960,0.1479,5.3937,0.0055
,0.2000,0.1521,5.5288,0.0061
,0.2040,0.1563,5.6668,0.0068
,0.2080,0.1604,5.8089,0.0076
,0.2120,0.1645,5.9563,0.0084
,0.2160,0.1686,6.1036,0.0092
,0.2200,0.1726,6.2592,0.0102
,0.2240,0.1767,6.4202,0.0111
,0.2280,0.1807,6.5815,0.0120
,0.2320,0.1847,6.7402,0.0131
,0.2360,0.1887,6.8976,0.0142
,0.2400,0.1927,7.0610,0.0153
,0.2440,0.1967,7.2275,0.0165
,0.2470,0.1996,7.3553,0.0174
,0.2510,0.2036,7.5036,0.0186
,0.2550,0.2076,7.6408,0.0198
,0.2590,0.2116,7.7775,0.0212
,0.2630,0.2156,7.9143,0.0230
,0.2670,0.2196,8.0516,0.0250
,0.2710,0.2235,8.1883,0.0272
,0.2750,0.2275,8.3205,0.0296
,0.2790,0.2315,8.4556,0.0323
,0.2830,0.2355,8.5881,0.0367
,0.2870,0.2395,8.7266,0.0430
,0.2910,0.2435,8.8728,0.0501
,0.2950,0.2475,9.0293,0.0573
,0.2980,0.2505,9.1557,0.0625
,0.3010,0.2536,9.2860,0.0673
,0.3040,0.2566,9.4179,0.0721
,0.3070,0.2596,9.5457,0.0765
,0.3100,0.2626,9.6715,0.0804
,0.3140,0.2666,9.8307,0.0852
,0.3180,0.2706,9.9917,0.0896
,0.3220,0.2746,10.1404,0.0942
,0.3260,0.2786,10.2825,0.0997
,0.3300,0.2826,10.4251,0.1044
,0.3340,0.2867,10.5664,0.1080
,0.3380,0.2907,10.6966,0.1107
,0.3420,0.2947,10.8266,0.1127
,0.3460,0.2987,10.9570,0.1142
,0.3500,0.3027,11.0859,0.1158
,0.3540,0.3067,11.2303,0.1180
,0.3580,0.3107,11.3823,0.1211
,0.3620,0.3147,11.5342,0.1250
,0.3660,0.3187,11.6769,0.1288
,0.3700,0.3227,11.8163,0.1322
,0.3740,0.3267,11.9539,0.1350
,0.3780,0.3307,12.0901,0.1372
,0.3820,0.3347,12.2218,0.1395
,0.3860,0.3387,12.3673,0.1425
,0.3900,0.3427,12.5141,0.1454
,0.3940,0.3467,12.6544,0.1482
,0.3980,0.3506,12.7813,0.1514
,0.4020,0.3546,12.9091,0.1549
,0.4060,0.3586,13.0401,0.1592
,0.4100,0.3626,13.1720,0.1645
,0.4140,0.3666,13.3096,0.1692
,0.4180,0.3706,13.4500,0.1733
,0.4220,0.3746,13.5951,0.1773
,0.4260,0.3786,13.7325,0.1810
,0.4310,0.3836,13.8808,0.1851
,0.4360,0.3886,14.0257,0.1888
,0.4400,0.3926,14.1521,0.1915
,0.4440,0.3966,14.2859,0.1939
,0.4480,0.4006,14.4234,0.1959
,0.4520,0.4047,14.5543,0.1978
,0.4560,0.4087,14.6977,0.1995
,0.4600,0.4127,14.8471,0.2013
